gloss_pt,gloss_en,mbj_rc_m05,mbj_rc_eppsob,mbj_rn_m05,daw_m05,daw_eppsob,daw_orth_epps,hup_m05,hup_ramepps,yhp_m05,yhp_silva
Veado-catingueiro,gray brocket deer (Mazama gouazoubira),--,,--,c ʼ ɤc ʼ ǎ:h,cocǎh; cohcâ,çôoçaár; çôrçaà,mɔ̃hɔ̃jʼc ʼ â:,,mɔ̃hɔ̃j̃ʼc ʼ â̰:h,mohóy-saa
Veado-mateiro,red brocket deer (Mazama americana),--,,--,cʼɤhɤ̂:w,cohə̌w,çôorâáw,mɔ̃hɔ̃j̃hɤ̌:w,,mɔ̃hɔ̃j̃hɤ̂:w,mohóy-hä́w
Cauda,tail,dɔ̃m,dõm,nɔ̃m,dubm,dum,dum,ɗṵbm,daràp,ɗṵbm,duum
Chifre,horn,ʃã̰:n,,ʃã̰:n,ʃã̰̌:nʔ,ʃã̂n’,sãán’,cã̰̌:nʔ,sànʼ,cã̰̂:nʔ,
Couro ou pele,skin,bɯ:h,byyh,bɯ:h,bɯk,bɨk,bʉk,--,,--,
Gordura 1,fat; grease,--,,--,nɛ̃g,næ̃g,nẽg,nã̌:ŋ,,nã̌:ŋ,nag
Araçari,aracari (small toucan) (Pteroglossus sp.),jʌ:b,,--,jâ b,jâb,yaàb,--,,jâ:bm,
Araraçanga 1,macaw (Ara macao),--,,--,--,,,jǎ:k ,yàk,jǎ:k ,yák
Araraçanga 2,macaw (Ara macao),k ʼ aʔɾo:ʔ,,k ʼ aɾu:h,k ʼ a lʔ,kǎl’,kaál’,--,,--,
Beija-flor 1,hummingbird (familia dos troquilideos),c ʼ i:p,,c ʼ i:p,--,,,--,,--,
Beija-flor 2,hummingbird (familia dos troquilideos),--,,--,ʃug,ʃug,sug,cu:gŋ,súg,cǔ:gŋ,sug
Coruja 1,owl (genero otus),--,,--,--,wěw’,wêéw’,pɤpɤp,päpä́p,pɤpɤ̌:p,päpäp
Coruja 2,owl (genero otus),wo̰:ɾə,wʼoor,wo̰:ɾə,--,,,--,,--,
Cujubim (Pipile sp.),piping guan,kajṵ:j,,kajṵ:j,xujǔ:j ʔ,xujǔj’,xuyuúy’,--,,--,
Garca,egret (familia dos ardeideos),--,,--,moh,moh,môr,boh [howʔ,böhö́wʼ,--,
Gaturamo,thick-billed euphonia (Euphonia laniirostris),--,,--,c ʼ ubm,--,--,c ʼ ǔ:bm,,cʔǔ:bm,suúm
Gaviao-real,harpy eagle?; hawk (Harpia harpyja),wi:ʔ,wawii,wi:h,wǐ h,wǐh,wiír,wǐ h [pǒg,wihpö̀g,wî h,wíh
Jacu,Spix’s guan (Penelope jacquacu),jɤ̰:j,,jə̰:j,jěʃ,jěʃ,yêés,jěc,,jěc,
Japu-do-bico-encarnado,japu (Psarocolius sp.) [Gymnostinops is outdated name] (Gymnostinops,dṵb,,do̰:b,dǒ:p,dǒp,dôóp,ɗǒ̰:p,dʼö́p,ɗô̰:p,dööp
Maitaca,blue-headed parrot (Pionus menstruus),du:ʃ,,du:ʃ,dǔ:ic,dǔc,duúç,ɗṵ̂:ic,dʼùs,ɗṵ̌:ʲɟ,
Nambu-galinha,white-throated tinamou (Tinamus guttatus),ho̰:h,,ho̰:h,hǒ:h,mɔ̃-hǒh,mõo-rôór,mɔ̃hǒ:h,mohhö̀h,--,
Nambu-grande,great tinamou (Tinamus major),--,,--,mɔ̂̃:,mɔ̃̂,mõò,mɔ̃̌:h,mòh,mɔ̃̂:h,móh
Papagaio-moleira,mealy parrot (Amazona farinosa),c ʼ ɔj,,c ʼ ɔj,c ʼ ɔj,cɔj,çoy,c ʼ ɔ̰jʔ,,c ʼ ɔ̰jʔ,sooy’
Pomba-galega,dove (Columba cayennensis),wawɛ̃hɛ̃h,,--,wɛ̃h,wæ̃h,wẽr,wɛ̃ç,,wɛ̃h,wẽh
Rouxinol,moriche oriole (Icterus chrysocephalus),--,,c ʼ u: b,c ʼ û: b,ʃǐp,siíp,--,,--,
Tucano,toucan (Ramphastos sp.),ʃoked; ʃaked; ʃuked,suked,ʃaked,c ʼ okʼwet,cokwet,çôkwêt,cokw̰ɤt,sokwʼä́t,cɔhkɤt,sokät
Urubu,vulture (Coragyps atratus),wɤ:h,,wɤ:h,waʔ,waʔ,wa’,wãʔ,wã́ʼ,wãʔ,
Urumutum,nocturnal currasow (Nothocrax urumutum),--,,--,tǔ:dn,tǔn,Tuún,mɔ̃jtǔ:dn,moytùd,mɔ̃jtǔ:dn,moy-tun
Ninho,nest,mã:g,,mã:g,--,meʔ,mê’,--,,--,
Ovo,egg,ʔetɯ:p; tɯb,tyb,tɯb,tɯ̌:b,tɨ̌p,tʉʉ́p,tǐ:p,tip,tî:p,típ
Amarelo,yellow,ʃawʌ̰:k,,ʔawa̰:kŋ,--,mɨ̃̂,mʉ̃ʉ̀,--,,--,
Azul; verde,blue; green,jabaɾǔ: t ,jabaruut,maɾu: t ,--,mɨ̃̂,mʉ̃ʉ̀,--,,--,
Branco 1,white,hawak ,hawak,hawakŋ,--,,,--,,--,
Branco 2,white,--,,--,hô:,hô,rôò,tohoh,töhö́,tohoh,
Vermelho 1,red,--,,--,nô:,nô,nôò,ndô:,,--,
Vermelho 2,red,hi:dn,hahiin,hi:ɟɲ,--,,,--,,hě:ɟɲ,
Camarão,shrimp,ʃɤ:ʔ,sëë,ʃɯ:ʔ,ʃoʔ,ʃoʔ,sô’,cɤʔ,säʼ,cɤcɤʔ,säsä’
Caranguejo,crab (gen. Trichodactylus),c ʼ ahʌ:bm,,c ʼ ʌhʌ:bm,xâ:bm,xâm,xaàm,--,,--,
Caranguejo,crab (gen. Trichodactylus)­­,--,,--,--,,,ʃɔhɔ̂:,sohó,cɔhɔ̌:h,
Caranguejo,crab (gen. Trichodactylus),--,,--,--,,,cɔ̃hõ̌:m,,cɔ̃hõ̂:m,
Diarreia,diarrhea,--,,--,--,jǒh,yôór,cuɟɲ,NF,cuɟɲ,NF
Ferida 1,wound (causada por corte),--,,--,nɔ:h,nɔh,nor,--,NF,ndɔ̌:h,dooh (to rot)
Ferida 2,wound,--,,--,xɔ̃m,xɔm,xom,hɔ̃m,hóm,hɔ̃m,NF
Lombriga,nematode (roundworm) (Ascaris lumbricoides),ʃɔ:d,,ʃɔ:d,ʃɔ:t,ʃɔ̌t,soót,--,NF,--,NF
Remedio,medicine,--,,--,j̃ɔ̃̌:h,jɔ̃̌h,yõór,j̃ɔ̃̌:h,yõ̀h,ɲɔ̃̌:h,yõh
Sarampo,measles,--,,--,--,ʔǒj’,ôóy’,pab,páb’,pǎ:b,pamʼ
Abaixar,lower,hɯgŋ; hɯ:h,,hɯgŋ,xɯ̂:,xɨ̂,xʉʉ̀,hî:,hí,hi,hi
Abanar,lower,hɤbm,,--,hebmʔ,hem’,rêm’,hebmʔ,hë́b́,hɛbmʔ,hëmʼ
Abrir 1,open,--,,--,poʔ,poʔ,pô’,poʔ,pö́ʼ,poʔ,pö’
Abrir 2,open,je:ɟɲ; jḛ:j,,--,jɛɟ,jǐc [pull apart woven thing],yiíç [pull apart woven thing],--,sö́d,--,hah
Acabar 1,finish,ʔahʌj; ʔahɤ:j,,ʔahʌj,--,,,--,*see ‘toho’,--,NF
Acabar 2,finish,--,,--,hũʔ,hũʔ,rũ’,hũʔ,hū̃̃́ʼ,hũʔ,hũ’
Acabar 3,finish,jã:m,,jã:m,jɛ̃̂:m,jæ̃̂m [parar trabalho],yẽèm [parar trabalho],--,NF,--,NF
Acender 1,light (fire),--,,--,tɤʔ,təʔ,tâ’,tɤʔ,túj,tɤʔ,tä’
Acender 2,light (fire),tagŋ; ta:h,,ta:h,--,,,--,tä́ʼ,--,ta:ʼ
Agitar 1,mix; stir,--,,--,--,wɔ̃n’ [comida; mingau],wõn’ [comida; mingau],w̃ɔ̃nʔ,NF,w̃ɔ̃nʔ,NF
Agitar 2,mix; stir,--,,kaw̃ɔ̃j̃,--,,,--,NF,mĩhw̃ɔ̃j̃,mih wõç
Ajudar 1,help,--,,--,--,judal’,yudal’,tã̂:m,hitám; bɨ́ʼ,tãm,(bɨʼ)-bamʼ
Ajudar 2,help,ʔmãʃaʔ; ʔmaʃa:ʔ,,ʔmẽʃa:h,--,,,--,NC ,--,NC
Alagar; inundar,drown,   k ʼ ɯ̰:p; k ʼ ɯ̰:b,,k ʼ ɯ̰:b,k ʼ ɯ̃̂:m,kɨ̂m,kʉʉ̀m,k ʼ ɯ̃̂:m,k’ɨ́m,--,NC (yɨ̃wʼ)
Alisar,smooth,hawɤ:k,,hawʌg,--,,,hɤk,NC (wád; wɨ́m),--,NC (yãh; wɨ̃m)
Amar; souvinar,love; be stingy,--,,--,wɔj,wɔj,woy,wɔj,woy,wɔj,woy
Amarrar,tie,da̰:p; da:b,,--,dâ:b,dâb [mend e.g. aturá]; kək [tie in general],daàb [mend e.g. aturá]; kâk [tie in general],--,sʼɨ́p; wʼɨ́t,tabm,tam
Amontoar,rest/be put on (something),--,,--,wʔô:b,wôb [intransitive],wôòb [intransitive],wuʔwô:bm,NF,wʔobm,wööm
Apagar,go out,du:k; dug,,du:g,dɔ̌:k,dɔ̌k,doók,ɗɔ̰̌:k,dʼók,ɗɔ̰k,dook
Aparecer,appear,--,,--,hadn,han,ran,bahadn,böbö́b,--,wahan
Apodrecer,rot,ʔaʃʌ̰:ʃ; ʔaʃa:ɟ,,ʔaʃa:j; ʔaʃa:ɟ,--,dɔx,dox,--,dʼóh,--,dooh
Aquecer,warm up,--,,--,k ʼ ɯ̰ʔ,hæ̃d jǔʔ,rẽd yuú’,k ʼ ɯ̰̂ʔ,NF,k ʼ ɯ̰ʔ,kɨʼ
Arrancar 1,pull out,ʔakʼ o̰:ʔ; ʔakʼ o:ʔ,,kʼ o:ʔ,--,,,kʼ ɔ̰̌:ʔ,koʼ,kʼ ɔ̰ʔ,kooʼ
Arrancar 2,pull out,--,,--,wɔc,wɔc,woç,wɔc,NF,--,NF
Arranhar,scratch,kuʃ; kuɟ,,--,xô:ɟ,xôj,xôòj,koʲɟɲ,kö́j,--,hɨ; kĩit
Arrastar,pull; drag,takɯg; takɯg,,takɯg,xɤ̌:k,xə̌k,xâák,--,NC (dö́y),kɤgŋ,käk; hɨ̃k
Assar,roast,jʌʔ; jɤ:ʔ,,--,jaʔ,jaʔ,ya’,jɛ̃ʔ,yẽʼ,jɛ̃ʔ,yẽʼ
Assobiar,whistle,hɔ̃:ɲ; hɔ̃:j̃; hɔ̰̃:ɲ,,hɔ̃:j̃,hɔ̃̌:j̃,hɔ̃̌y,rõóy,pɔ̃hɔ̃̂: j̃,pùg,pɔ̃hɔ̃ j̃,pĩg;põhoy
Atirar,throw,bo:h; boh,,bo:h,bux,bux,bux,ɓṵ,bʼuy,ɓṵh,buuh
Babar 1,drool,nãɾe:h,,nãɾe:h,--,,,--,NF,--,NF
Babar 2,drool,--,,--,--,,,nɔ̃hʃǎ:w,NF,nɔcaw,noh-sáw
Balançar,swing,--,,--,jǒ:jʔ,jǒj’,yôóy’,jǒ:jʔ,yóyʼ,jojʔ,yöyʼ
Banhar,bathe; swim,c ʼ ɔbm,atsóm,c ʼ ɔbm,c ʼ ɔbm,cɔm,çom,c ʼ ɔ̰̌̃:m,sʼóm,c ʼ ɔ̰̃m,sõom
Barulho,noise,--,,--,--,jê,yêè [fazer barulho],hɔ̃̌:h,hõ̀h,hɔ̃̌:h,Hõhoh; huh
Beber,drink,ʔɤ:k; ʔɤ:gŋ,eÿÿk,ʔɯgŋ,ʔɤg,ʔəg,âg,ʔɤgŋ,äg,ʔɤgŋ,äg
Beijar,kiss,c ʼ u:p; c ʼ u:b,,c ʼ u:b,c ʼ ũ̌:ɲʔ,cũ̌ɲ’,çũúnh’,c ʼ ṵ̃p,sʼṹp,c ʼ ṵ̃p,sũup
Beliscar 1,pinch,waʃi:ʔ; ʃḭ:ʔ,,ʃḭ:h; ʃi:h,--,,,--,NF,--,NF
Beliscar 2,pinch,--,,--,ʃî:b,ʃîb,siìb,cĩ̌:mʔ,tímʼ; símʼ,cĩmʔ,sĩim’
Bocejar 1,yawn,habm; haw,noo keham,habm,--,,,--,NF,--,NF
Bocejar 2,yawn,--,,--,nɔ̃hk ʼ ǎ̰:ʔ,nɔ̃h kâ,nõr kaà,nɔ̃hk ʼ ǎ̰:ʔ,nohʼká,nɔ̃hk ʼ a̰h,noh ka
