gloss_pt,gloss_en,mbj_rc_m05,mbj_rc_eppsob,mbj_rn_m05,daw_m05,daw_eppsob,daw_eppsob_pht,hup_m05,hup_ramepps,hup_ramepps_pht,yhp_m05,yhp_silva,yhp_silva_pht
Soprar 2,cast spell,w?h,,--,w?h,w?h,w?h,--,,,--,,
Soprar 3,blow,pahu:??; pahu:j,pa-huunh,pa-hu:j,    hu??:t,hu??t,hu??t,pu?-hu??:t,,,pu?-hu?t,pu?-hut,pu?hut
Soprar com,shoot with blowgun zarabatana,?e-?o:bm; ?e-?o:w,e-soom,--,??w,??w,??w,c?w,so?w,s??w,c?w,sow’,s?w’
Subir (beira-rio),ascend,??p; ??b,,??p,???:p,???p,???p,c?p,so?p,s??p,c?p,sop,s?p
Subir rio,go upriver,--,,--,p??:,pæ?,p??,p??:,pe?,p??,p?,pe,p?
Tecar (??),shoot with slingshot,--,,--,w??p,w???p,w???p,w????p,,,--,,
Temer,fear,???:m; ???m,e??m,???:m,?a??:m,?a??m,?a??m,???m,o?m,??m,???m,o?m,??m
Ter 1,be; exist,n??h; n??:,,na?:,--,,,--,,,--,,
Ter 2,be; exist,--,,--,ni??:,ni??,ni??,ni??:,,,ni?,ni,ni
Ter Gordura,be greasy; fat,??dn,,??dn,--,,,--,,,--,,
Tinguijar,fish with timbo poison,t?:dn,,--,tedn,ten,tedn,t?dn,tä?d,t??dn,t?dn,tän,t?dn
Tirar,take,do:?; do?,,--,do?:?,do??,do??,?o??,d?ö?,nd?o?,?o??,dö’,ndo’
Torrar 1,toast,--,,--,x???:n,xæ??n,x???n,k???:n,,,--,,
Torrar 2,toast,???:?; ???:j,,???:j,--,,,--,,,--,,
Urinar 1,urinate,--,,--,?i?,?i??,?i??,ci?,,,ci?,si’,si’
Urinar 2,urinate,k??:?,,k??:?,--,,,--,,,--,,
Varrer,sweep,--,,ha:p; ha:b,x??:p,xæ?p,x??p,h?p,,,h?b,,
Vir,come,--,,--,n??d,næ??d,n???d,n??n,ne?n,n??n,n??n,nen,n?dn
Voltar 1,return,j?:h; j?h,,--,j??:,j??,j??,je?:,,,--,,
Voltar 2,return,ba:??; baj,,--,b?j,bæ?j j??,b??j j??,?a?j,,,?a?j,baay,mbaay
Etnia Tukano,River Indian,--,,--,w??:h,w??h,w??h,w??:h,wo?h,w??h,w??:h,wo?h,w??h
Gente 1,people,na?d?b,na-dëb,n?-d?b,d?w,d?w,d?w,--,,,--,,
Gente 2,people,ji-hub,,ju-hub,xup,d?w-xup,d?wxup,hup,,,ju-hup,,
Heroi mitico,mythical hero,--,,--,k????:??,k????,k????,k????:??,,,k????:??,,
Homem 2,man,ma??a-hud,,ma??a-hud,xut,xut,xut,--,,,--,,
Menino,boy,ta?:h; ta:h,,ta?:h,t??:,tæ?,t??,t??h,te??h,t???h,t???:h,te??h,t???h
Moça 1,adolescent girl,--,,--,?a?ja?-?a?:w,?a?w,?a?w,ta??a?-?a?:w,,,t??hi?h-ca?:w,,
Moça 2,adolescent girl,ma??u:?,,ma??u:?,--,,,--,,,--,,
Mulher,woman,???:?; ???:j?,,???:?,?a??:j?,?a??j,?a??j,?a?j?,,,?a??:j?,,
Paje,shaman,??:w,sëëw,??:w,???:w,??w,??w,c??:w,sä?w,s??w,c??:w,sä?w,s??w
Velho,old man,h?dna?:?,wah?ÿÿ,wah,h??dn,xuth?n; xutwa?; xutwa?h,xuth?dn xutwa? xutwa?h,w?h??dn,wähä?d,w?h??dn,wah,,
Amidala,tonsil; lymph node,k?a:w,,--,k???:w,,,kak?a?:w; kak?aw,,,--,,
Barba,beard,--,,--,w??w??,?ug-wæ?w’,?ugw??w’,w???:m?,,,--,,
Barriga 1,stomach,--,,--,t??,t??,t??,to? ti?bm,,,--,,
Barriga 2,stomach,wog,wog,wog,w??:k?,,,--,,,--,,
Bigode,moustache,n?? ?u:g,,n?? ?u:g,n?? ?u:g  ,n??h ?ug,n??h ?ug,n?? ?u:g?,noh su?g,n?h su?g?,--,,
Boca,mouth,n??:h,nooh,n??:h,n??h,n??h,n??h,n??h k?o??:dn,,,n??h k?o?dn,noh köö?n,n?h koo?dn
Bochecha,cheek,ma?-wo?:h,,w?:h; ne?mo?-wo?:h,w??:,w??,w??,nd?-w??:h,,,na?-w??:h,now-wo?h,n?ww??h
Braço,arm,mo?:h,mooh,mo?:h,--,mi?n??h,mi?n??h,m??-mu??:j?,,,--,,
Cabeça,head,nu?:h,nuuh,nu?:h,nu?h,nu?h,nu?h,nu?h,nu?h,nu?h,nu??:h,nuh,nuh
Cabelo,hair,--,,--,pa?:t ; pat,pat,pat,pa??:t,pa??,pa??,pa??:t,pa?t,pa?t
Carne,meat,dab,dab,dab,d?p,dæp,d?p,?a?p,,,?a??:p,daap,ndaap
Corpo,body,hub,,hub,xub,xup,xup,hub ?ap,,,,,
Costas 1,spine,--,,--,ti?:?,ti??,ti??,ti?:ç,,,--,,
Costas 2,back,ji-j??,,ne?-j??,--,,,--,,,--,,
Costela 1,rib,--,,--,xo?,xo??,xo??,ho-ho?,,,ho-ho?,hö-hö?’,hoho?’
Costela 2,rib,ka?apa?,,ka?apa?,--,,,--,,,--,,
Cotovelo,elbow,?ug,,?ug,?o?:g?,????,???g?,--,,,jojog?,yöyö?g,yoyo?g
Fezes,feces,ja?:?,j?aa,ja?:h,j??:?,jæ??,j???,j??:?,y?e??,y????,j??:?,ye?’,y??’
Figado,liver,ho:h,hooh,ho:h,--,,,h??:,ho?,h??,h??:h,ho,h?
Genitalia,genitals,bo?:j,,b??:j,b??:j,bo?j,bo?j,???:j,,,--,,
Intestino,intestines,--,,--,j??-pi??:n,jæ??-pi??n,j???pi??n,pi??:n,,,--,,
Joelho 1,knee,--,,--,w??d??h,wa?ndæh,wa?nd?h,w??n????:,,,--,,
Joelho 2,knee,ta?od-nu?:h,,ka?o-nu?:h,--,,,--,,,c??g-n?u???:h,,
Lingua,tongue,na?k?a?:d,nag?aad,na?k?a?:d,n??hk??d,n??hkæ?d,n??hk??d,n??hk????:dn,nohk’èd,n?hk’èdn,n??hk????:dn,,
Ma?o,hand,m??:h,mooh,n??-m??:h,mi?-n??h,,,n??-pu?h,,,p???:h,po?h,p??h
Ma?o direita,right hand,ta-hub,,ne?m??-hub,xup,?o?b-xup,?o?bxup,mu?-hu?:p,,,--,,
Mao esquerda,left hand,????:?,s???,?a??:h,?a??h,?o?b-?a??h,?o?b?a??h,c???h,so??h,s???h,ca??h,,
Nariz,nose,--,,--,to?:?,t???,t???,to?:??,,,to?:??,,
Orelha,ear,na-bu:j,na-buuj,na-bu:j,--,xu??j,xu??j,??? ??k,,,?u?j ??k,buy rok,mbuy ??k
Osso 1,bone,--,,--,k???:g,kæ?g,k??g,k????:g?,,,--,,
Osso 2,bone,k??:?,k?ÿÿ,k??:h,--,,,--,k?e?g,k???g?,k??:?,kä?’,k??’
Peito,chest,--,,--,--,,,h???t??:g?,hu??,hu??,h???t??:g?,ho?-täg,h??t?g
Pomo-de-ada?o,adam’s apple,--,,--,?????,?????’,?????’,?????,,,--,,
Pubis,pubic hair,??:dn,sëën,??:dn,?adn,ca?n,ca?dn,ca?n,sa?n,sa?n,ca??:n,sa?n,sa?n
Pulma?o,lung,?a-pu:w,sa-puuw,?a-pu:w,--,,,pu-puh,,,pu-pu?:h,pu-pu?h,pupu?h
Queixo,chin,ba?:h,,ba?:h,ba?x,t?g-ba?x,t?gba?x,--,,,--,,
Saliva 1,saliva,c???,,c???,c???, c???, c???,--,,,c??jh,,
Saliva 2,saliva,--,,--,--,,,n??h?a?:w,,,n??hca?:w,nohsa?w,n?hsa?w
Seio,breast,--,,--,pu?:dn,pu?n,pu?dn,pu?:dn,pu?d,pu?dn,pu?:dn,pu?n,pu?dn
Sobrancelha 1,eyebrow,k??:dn,,k??:dn,--,,,--,,,--,,
Testa,forehead,ma?bo??,,ma?bu??,--,,,--,,,--,,
Umbigo,navel,--,,--,pu?:?,pu??,pu??,pu?:ç,pu?ç,pu?ç,po-pu?:j?,,
Unha,fingernail,p??hb?g,,--,b?k,??b-b?k,??bb?k,??k,,,p??h-???k; m??h-???k,,
Abelha (generico),bee,hi?:h,,hi?:h,hi?h,,,--,,,hi??:h,,
Aranha 1,spider,?a?na?jo:?,sana-jooh; sana-joo,?a?ne?-jo:h,j??:?,j??,j??,mb?-j??,,,j??:?,yo’,y?’
Aranha 2,spider,--,,--,?u??:h,?u??h,?u??h,cu??:h,,,cu??:h,su?h,su?h
Barata 1,cockroach,--,,--,na?:p,na?p,nda?p,nda-?ap,da-da?p,ndada?p,ndah-nda?:p,da-da?p,ndada?p
Barata 2,cockroach,kabata??,kamara CHECK,kama?tar?,--,,,--,,,--,,
bicho-do-pe?,Chigoe flea (Tunda penetrans),d?dn,de?n,d?dn,d?dn,dæn,d?dn,n?a??n,n?a?n,n?a?n,n?a??n,naan,naadn
Borboleta (generico),butterfly,--,,--,m?bm,mæm,mb?bm,?e?-?e?p,,,bebep,,
Borboleta,morpho butterfly (Morpho sp.),--,,--,xow?,mæm-xow’,mb?mxow’,k???-h??:g?,koro-ho?g,k???h??g?,h?g?,hog,h?g
Caba (generico),wasp,ma??-ju?,,--,j???:?,j’???,j’???,j??:?,yo??,y???,j??:?,yo?’,y??’
Caba 1 (sp.),wasp sp.,?a-t?:d,a-tëëd,?a-t?:d,--,,,--,,,--,,
Caba 2 (sp.),wasp sp.,mu?:k,,mu?:k?,mu???:,mu??,mu??,mu???:,mu?,mu?,mu??:h,muh,muh
Carrapato 1,tick,--,,--,?e?:bm,?æ?m,???bm,ce?:bm,tah-së?b,tahse?bm,ce?:bm,,
Carrapato 2,tick,k?awa???:b,gawar?ÿÿb,k?????:b,--,,,--,,,--,,
Centopeia,centopede,??:j,sëëj,--,?a?:j,,,ca?:j,sa?y,sa?y,--,,
Cupim,termite,--,,--,bu?,bu? ????w,bu? ????w,?u??,b?u??,mb?u??,?u??,buu’,mbuu’
Escorpiao,scorpion,??:j,sëëj,?aj,?aj,?a?j,?a?j,--,,,caj,,
Formiga 1 (sp.),ant sp.,--,,--,mob,,,bo-bobm,,,--,,
Formiga 2 (sp.),ant sp.,ka?a?wa?,karewa,ka?a?w??t,xaw?,xaw’,xaw’,--,,,--,,
Formiga-correiçao 1,army ant sp. (sp.),ka-ko:?,,ku-ku:?,xo?,xo?,xo?,koç,kö?ç,ko?ç,ko?:j?,,
Formiga-correiçao 2,army ant sp. (sp.),????:w,s???w,?a??:w,?a??:w,?a??w,?a??w,ca?:w,sa?w,sa?w,ca?:w,,
Formiga-sauva 1,sauva ant (sp.) (comestivel),--,,--,hu?:d,hu?d,hu?d,hu?:dn,hu?d,hu?dn,hu?:dn,hu?n,hu?dn
Formiga-sauva 2,sauva ant (sp.) (comestivel),w?g,,w?g,w?k,w?k,w?k,w?k,wä?k,w??k,w?k; w??:g?,,
Grilo 1,cricket,--,,--,?u?:c,?uc,?uc,cu??:c?,,,cu??:??,,
Grilo 2,cricket,--,,--,di?:t,,,--,,,di?:d?,,
Larvas,larva; caterpillar,--,,--,--,,,p?-p??:p,,,p??:p,pop,p?p
Mel,honey,--,,--,n???:g,næ??g,n???g,n???:?,,,n???:?,ne?g,n??g
Mosca,fly,--,,--,c???p,c?p,c?p,c???p,,,c???p,,
Mutuca,horsefly,bug?,,buk,bux,bux,bux,?u?h,b?u?h,mb?u?h,?u?h,buuh,mbuuh
Piolho,louse,na?:m,naam,na?:m,n???:m,næ??m,n???m,n???:m,ne?m,n??m,n???:m,ne?m,n??bm
Pium,blackfly,--,,hu?:g?,ho?:h,ho?h,ho?h,hu?,hu??,hu??,hu?,hu’,hu’
Tocandira,bullet ant (Paraponera clavata),w?:w,wyyw,w?:w,w??:w,w??w,w??w,wi?:w,wi?w,wi?w,wi?:w,wi?w,wi?w
Vaga-lume,firefly,hu:j,,hu:j,xu?:j,xu?j,xu?j,hu-hu?:j,,,hu-hu?:j,hu-hu?y,huhu?y
Acima 1,above,--,,ta-j?,--,,,hi-jo?,,,--,,
Acima 2,above,sa-kut,,su-kut,xo?:d,,,--,,,ho?:dn,,
Dentro,inside,?u:dn,suun,?u:dn,--,,,--,,,--,,
Embaixo,under,??:t; ??t,yt he?,??t,--,,,--,,,--,,
Fundo 1,deep,--,,--,--,,,wa??:n,,,wa??:n,wa?n,wa?n
Fundo 2,deep,t???p,,t???p,--,,,--,,,--,,
Longe 1,far,--,,,h???t,h??t,h??t,h?t,,,h?t,hot,h?t
Rio acima,upriver,ta-k?a:d,,ta-k?a:d,--,xo?d,xo?d,--,,,--,,
Aldeia,village,--,,--,j??m,,,ha?a?m,ha?-ya?m,ha?ya?m,ja??:m,ya?m,ya?m
Caatinga,caatinga (area of sandy soil),w??:g,,w??:g,w???:k,w??k,w??k,--,,,w???:g,,
Capoeira,overgrown fields,k??-wpa:h,,k??-pa:h,?wah,w’a?h,w’a?h,--,,,--,,
Cerca 1,fence,--,,--,?a?:d,?a?d,?a?d,hi-?a?:dn,,,--,,
Cerca 2,fence,?u:j,,?u:j,--,,,--,,,--,,
Cerrado (ervas),overgrown,taga-w?:?,,--,w?e?,w’e?’,w’e?’,--,,,--,,
Roca 1,garden,k??:w,,k??:w,k?a?:w,ka?w,ka?w,--,,,--,,
Roca 2,garden,--,,--,--,,,????:t,,,????:t,boo?t,mb???t
Arco-iris,rainbow,sapah??d,,m??h??d,--,,,--,,,--,,
Areia 1,sand,ho:d,hood,hu:d,--,,,--,,,--,,
Areia 2,sand,--,,--,--,,,w?g?jo?:h,,,we?:g?,,
Ceu 1,sky,--,wë-puh,poh,p?x,p?x,p?x,poh,,,poh,,
Chuva,rain,do:?; do?,a-doos,du:?,do?,d??,d??,?o???,,,?o?j??,,
Estrela,star,--,,--,m?????:h,m’æ??h,m’???h,we?o-m?????h,,,we?o-m?????:h,,
Lago,lake,m??:h,,--,m???h,m???,m???,m??h,mo?h,m??h,m???:h,moh,m?h
Neblina,fog,c??:g,a-tsyg,c??:g,--,,,c????:k,,,c????:k,s???k,s???k
Pedra 1,stone; hill,--,,--,pa?:?,pa??,pa??,pa?:ç,,,pa?:j?,,
Pedra 2,stone; hill,p??,pä,p??,--,,,--,,,--,,
Rio,river,ta?-mi:?h,ta-miih,ta?-mi?:h,mi??,,,ndeh-mi?h,dëh-mi?,ndehmi?,mi??:h,mi,mi
Sol 1,sun,--,,--,x? t?bm,x? t??m; xo t??m,x? t??bm xo t??bm,w??-??:,,,w??-h??:h,wer-ho,w??h?
Sol 2,sun,pap??:j,pap??j,papa?:j,--,,,--,,,--,,
Solo,ground,tu?:?,,tu?:?,tu?:,tu?,tu?,tu?:,tu?,tu?,tu?:h,tu?h,tu?h
Terra,earth; land,c??g?,tsäng,c??k?,c?ax,cax,cax,c?a?h,,,c?ah,saah,saah
Trovao 1,thunder; lightning,--,,--,p??j,pæ?j,p??j,p??j,,,p??j,pe?y,p??y
Trovao 2,thunder; lightning,da?ug?,darung,na??uk?,--,,,--,,,--,,
Vento,wind,ba-?u?d,,ho:d,ho?:t,ho?t,ho?t,bo-ho?:t,bu?d,mbu?dn,wo-ho?:t,wö-hö?t,woho?t
Avo?,grandfather,?o:w,oow,??:w,--,,,?uw,,,?u?:w ah,,
Cunhado,affine,jo?:h,j?ooh,j??:h,j??:,y??,y??,?a-j??:h,,,j??:h,yo?h,y??h
Esposa,wife,???:m; ???m,??m,????:m,?a??:m,?a??m,?a??m,--,,,--,,
Filha,daughter,to:g,toog,tu:g,to?g,to?g,to?g,to?g,tö?g,to?g?,to?g,tö?g,to?g
Irma,sister,?a??,ä?nh,?a?j?,w?-?a?j?,w?h-?a??j,w?h?a??j,--,,,--,,
Ma?e,mother,???:n,??n,?a-???n,--,,,?i??:n,,,--,,
Marido,husband,patug,pa-tug,tapa-tug,tug,tug,tug,--,,,--,,
Pai 2,father,?e:?,ee,?e:?,??h,?æh,??h,???:h,,,--,,
Tio (materno),uncle (mother’s brother),k??d; k?ad,go?d,k??d,k???t,k?t,k?t,k???t,,,k????,koot,k??t
Peixe (generico),fish,h???:b,ta-h???b,ha???:b,ha??:p,ha??p,ha??p,h???:p,hä?b,h??bm,h???:p,ho?p,h??p
Acara? (sp.),acara? fish (Familia dos ciclideos),dobm,,dobm,dobm,dom,dobm,?o?bm,d?ö?b,nd?o?bm,?o?bm,dööm,ndoobm
Aracu (sp.),aracu fish (familia dos anostomideos),--,,--,x?t,x?t,x?t,p?-h?t,po-ho?t,p?h??t,w?-h?t,wo-hot,w?h?t
Arraia,stingray (Potamotrygon sp.),c?a?:h,ts?aa,c????:?,c????:?,cæ??,c???,c????:?,s?e??,s????,c????:?,see?’,s???’
jeju (sp.),fish sp. (Erythrinus sp.),d?g,,--,d?k,d?k,d?k,???k,,,???k,dook,nd??k
Muçum,swamp eel (Synbranchus marmoratus),--,,c?og,c?og,cog,cog,--,,,--,,
Peixe-boi,Amazonian manatee (Trichechus inunguis),ja?,wa-jats,ja?:?,ja?:c,ja?c,ja?c,--,,,--,,
Piaba (sp.),fish (esp. minnows),--,,--,jo??:g,j’o?g,j’o?g,jo?:g?,yö,yo,jo?:g?,yöög,yoog
Poraque,electric eel (Electrophorus electricus),c?a-bud,tsa-bud,c?a-bud,but,but,but,c?u-?u?t,su?-bu?t,su?bu?t,?u?t,buut,mbuut
Surubim,barred sorubim (Pseudoplatystoma fasciatus),--,,--,p??:j,p??j,p??j,p??:j,,,p??:j,,
Tambuata,brown hoplo (catfish) (Hoplosternum littorale),--,,--,????:?,?????,?????,???:?,o??,???,???:?,,
Traira,trahira fish (Hoplias sp.),bo:j,booj,--,bo?:j,bo?j,bo?j,?o??:j,b?ö?y,mb?o?y,?o??:j,böö?y,mboo?y
Escama,scale,p?d ,,p?d ,pec,pec,pec,pec,pë?s,pe?s,pe?:?,,
Isca,bait,n??:?,,n??:?,ni??:?,ni??,ni??,n???:w??,,,n???:w?,,
Piolho-de-peixe,fish lice,j??,,--,j??:,jæ?,j??,--,,,--,,
1sg Eu,1sg,???h,??h,???h,?a?h,?a?h,?a?h,?a?h,a??h,a??h,?a?h,,
2sg Voce,2sg,???m,o?m,???m,?a?m,?a?m,?a?m,?a?m,a?m,a?m,?a??m,,
3sg Ele,3sg,--,ta,--,tih,tih,tih,t?h,t?h,t?h,t?h,t?h,t?h
2pl Voces,2pl,--,,--,n??g,n?g,nd?g,n???,n??g,n??g?,n???:?,n?g,n?g
3pl Eles,3pl,--,,--,hid,hid,hid,h?dn,h??d,h??dn,h???:n,,
Como (inter.),how,--,,--,hi?n i??,hi?n’,hi?n’,hi?n?,,,--,,
Na?o 1,no,do:h,dooh,du:h,do??h,?,?,n??h,,,na?h,,
Na?o 2,no,ma?:?,,--,m??h,mæ?h,m??h,pa??:,,,--,,
Reportativo,reported evidential,m??h,,--,ma?h,ma?h,ma?h,ma?h,mah,mah,--,,
Amargo,bitter,c??g?; c??:h,,c??g?,c?a?:,ca?,ca?,c?a??:,c?a,c?a,c?a??:,saa,saa
Azedo 1,sour,ma?-c?ig?; ma?-c?i:h,,ma?-c?ig?,c?i?:,???w,???w,--,,,--,,
Azedo 2,sour,--,,--,--,ci?,ci?,k?i??:,,,k?i??j,kii,kii
Bom,good,n??:w?,,na?:w?,--,jæ??w,j???w,na??:w?,na?w,na?w,na??:w?,naw,naw
Bravo,fierce,--,,--,t??:w,t?w,t?w,t??:w,tä?w,t??w,t??:w,täw,t?w
Catinga; fedor,stink,--,,--,mudn,mun,mbudn,mbudn,,,--,,
Comprido 2,long,??bm; ??w,,--,j?w; j?bm,j?m,j?bm,--,,,--,,
Cozido,cooked,t?:d,,t?:d,--,,,--,,,--,,
Doce,sweet,k??:h; k???:h,e-gÿÿh,k???:h,k??h,k?h,k?h,k???h,k?ä?h,k???h,k???h,kääh,k??h
Duro,hard,?abag?; ?iba:h,,?a-bag?; ?a-bah,b??,bæ?,b??,ta-?a??,ta-b?a??,tab?a??,ta-?a??,ta-baa’,tabaa’
Enrolado (fios),rolled up,--,,--,new??,n’æ?w’,n’??w’,ndew,dë?w,nde?w,--,,
Fino,thin,?a?:p; ?a:b,sawa-saab,--,???:p,???p,???p,c??:p,sä-sä?w,s?s??w,c??:p,,
Forte,strong,jo:??; jo:j,,jo:j,--,,,--,,,--,,
Fraco 1,weak,--,,--,w??:j; w?j,wæ?j,w??j,w??:j; w?j,,,w??:j; w?j,wey,w?y
Frio 1,cold,--,,--,--,,,tut,,,tu?:t,tut,tut
Frio 2,cold,h?:bm; h?:w,ha-hëëm,h?:bm,--,,,--,,,--,,
Grande,big,pog?,,bog,n?x-pog,peg; po?g,peg po?g,pog?,pö?h,po?h,pog?,pö?g,po?g
Grosso,thick,--,,--,--,,,k??,k?a??,k?a??,k??,kä’,k?’
Mole,soft,--,,--,ju?:d,ju?d,ju?d,--,,,ju?:dn,,
Pequeno,small,--,-is,--,pi?,pi?,pi?,--,,, -is,,
Quente 1,hot,--,,--,k????:,k???,k???,k????,,,--,,
Quente 2,hot,ju?,ba-ju,ju?,ju?,ju??,ju??,--,,,--,,
Redondo,round,k?a?a-?ebm; k?a?a-?ew,,k?ana?-?ebm,lebm; nebm,lem; nem,lebm ndebm,nde-?ebm,dë-rë?b,nde?e?bm,debm,,
Reto,straight,--,,--,j??:w,j?w,j?w,j??:w,yu?,yu?,j??:w,,
Seco,dry,--,,--,--,x?p,x?p,h??:bm,,,h??:bm,häm,h?bm
Seco (arvore),dry (tree),to:h; t?g?,b?aa-tooh,to:h,t??:,t??h,t??h,t?,to?,t??,t??:,to,t?
Verdadeiro,true,--,,--,xup,xu?p,xu?p,--,,,hub,,
Vivo,alive,--,,--,??b,??b,??b,??b,?b?,?b?,--,,
Dois,two,--,,t?bm w?p,t??:bm,t??m,t??bm,--,,,--,,
Feixe 1,bundle,--,,--,k?ok,ku?k,ku?k,k?uk,,,--,,
Feixe 2 (de fios),bundle (of strings),--,,--,m??:g,m??g,mb??g,b??:g?,,,--,,
Metade,half,--,,--,tu?:t,tu?t,tu?t,--,,,mi?h-tu?:t,mih-tut,mihtut
Par; companheiro,pair; companion; twin ; gemeo,ma?b,,--,ma?:bm?,ma?m’,mba?m’,mba?:bm?,ba?b?,mba?b?,--,,
Pedaco,piece,b?h,,--,ba?:x,ba?x,ba?x,?a?h,b?ah,mb?ah,--,,
Plural 1,plural,po?-w?p; tama??-wob,,t?bm-w?p; po?-w?b,--,,,--,,,--,,
Plural 2,plural,--,,--,ha-wap; mut-wap,ha-wap,hawap,a-?ap; ha-?ap,--,,--,,
Jabuti 1,tortoise (yellow-footed) (Geochelone denticulata),--,,--,mi??:?,mi???,mi???,mi??:h,mi?h,mi?h,mi??:jh,mi?h,mi?h
Jabuti 2,tortoise (yellow-footed) (Geochelone denticulata),ma?tug,matug,ma?tug,--,,,--,,,--,,
Calango (sp.),small lizard,--,,--,--,,,??w,o?w,??w,??w,ow,?w
Jacare (generico),caiman,--,,--,x??:t,xæ?t,x??t,ha?:t,ha?t,ha?t,ha?:t,ha?t,ha?t
Jararaca 1,pit viper (Bothrops sp.),b?:w,,b?:w,ba?:w,ba?w,ba?w,?a??:w,,,?a??:w,baaw,mbaaw
Jararaca 2,pit viper (Bothrops sp.),k?a-t??:j?,ga-t??j,--,t?ghi??:,t?ghi??,t?ghi??,t??h???:j?,t??h???y,t??h???y,t??h???:j?,t??h?y,t??h?y
Lagarto (sp.),lizard,c?abu:?,,c?abu:?,--,,,--,,,--,,
Surucucu,South American bushmaster (snake) (Lachesis muta),ha:k,,ha:k?,x??:g,xæ?g,x??g,h??:g?,he?g,h??g?,h??:g?,he?g,h??g
Tamacuare? (sp.),diving lizard (Uranoscodon superciliosus),--,,--,???w?bm,?,?,c?w???bm,,,w????:bm,wääm,w??bm
Agora,now,--,,--,te?:dn,te?n,te?dn,t???:n,ten,t?n,--,,
Ainda,still,--,,--,t??:,te?h,te?h,t??:,te?,t??,--,,
Dia 1,day,he-wag,,mu-wag?,--,,,wag?,,,wag?,,
Dia 2,day,?ad?b,adëb,?ad?b,--,,,--,,,--,,
Ontem,yesterday,c??bm,tsém h?,c??bm,c???:bm,cæ?m,c??bm,c?a???:m,si?m’,si?m’,c?a???:m,sa?am,sa?am
Tarde,late,tu?:h,tug,tu?h,du?,du?,du?,?u???,d?u??,nd?u??,--,,
Anzol,fishhook,ko?a?:j,korããj/karããj CHECK,ko?a?:j,la?:j?,la?j’,la?j’,--,,,nda?:j?,da?y’,nda?y’
Arco 1,bow,ka?aba?,karaba,ka?aba?,--,,,--,,,--,,
Arco 2,bow,--,,--,k?i???,ki??,ki??,k?i?g-bah,,,k?i?g?-wah,,
Bagagem,baggage,--,,--,ka?-pa?j?,ka?-paj,ka?paj,paj,pa?y,pa?y,--,,
Canoa,canoe,ho?:h,h?ooh,h??:h,x??:,x??,x??,h??:h,,,h??:h,ho?h,h??h
Casa 1; buraco,house; hole,m??:j?,,m??:j?,ma??:j?,ma??j,ma??j,mo??:j?,,,mo??:j?,,
Casa 2,house,t?b,to?b,t?b,t?p,t?p,t?p,t?p,,,--,,
Cesto 1,basket (disposable),--,,--,?e?ma?c,ma?c,ma?c,ma??; c??,,,c??; ma??:?,,
Cesto 2,basket; atura?,--,,b?:j,b?j,b?j,b?j,--,,,--,,
Colar,necklace; bead,ma?jo:??,majoor,ma?jo:??,--,,,--,,,--,,
Coisa,things,--,,--,h???:h,,,h???:h,he?w,h??w,h???:h,he??h,h???h
Cuia 1,gourd dipper,--,,--,b??,b??,b??,????:?,,,????,boo?’,mb???’
Cuia 2,gourd dipper,??k,ëk,??k,--,,,--,,,--,,
Escopeta,shotgun,t?g,tëg,t?g,--,,,teg?,të?g,te?g?,teg?,tëg,teg
Espelho 1,mirror,--,,--,w??:k,hu?j-w??k,hu?jw??k,m??j-w??k,,,j??:k,,
Espelho 2,mirror,japow,,jehpow,--,,,--,,,--,,
Faca?o,machete,--,,--,wa??:n,wa??n,wa??n,wa??:n,wa?n,wa?n,wa??:n,,
Flauta,flute,--,,--,--,,,pi??:h,n??h,n??h,pi??:h,pi??h,pi??h
Gancho,hook,k?:?,,k?a?:h,k???:?,k??,k??,--,,,--,,
Jirau,shelf; smoking grid,--,,--,wab,wab,wab,wabm,wäg,w?g?,wa?:bm,wam,wabm
Machado,axe,m??:m,m??m,m??:m,ma??:m,ma??m,ma??m,m???:m,mo?m,m??m,m???:m,mo?m,m??bm
Panela 1,pot,--,,--,b?k,b?k,b?k,???k,,,???k,book,mb??k
Panela 2,pot,?a?e:j,sareej,?e?e:j,--,,,--,,,--,,
Peconha,circle,po??:d,,po?:d,p??:t,p??t,p??t,p??:t,po?t,p??t,p??:t,po?t,p??t
Pente,comb,p??,,--,p??:?,p???,p???,p??:ç,pä?ç,p??ç,p??:jh,,
Porta,door,t?bn??:h,,n??:h,t?pj??h,j??h,j??h,m??j???:h,mu?,mu?,--,,
Ralo,grater,--,,ha?b,h???:p,h???p,h???p,h???:p,h??p,h??p,h???:p,h???p,h???p
Rede,hammock,jag,jag,jag,j?g,jæg,j?g,d?ag?,ya?g,ya?g?,jag?,yag,yag
Roupa,clothes,--,,--,ju?:dn,ju?n,ju?dn,ju?:dn,yu?d,yu?dn,ju?:dn,yu?n,yu?dn
Tesoura,scissors,--,,--,h??:j??,hæ?j’,h??j’,h??-h??:j??,,,h??:j??,hey’,h?y’
Zarabatana 1,blowgun,--,,--,ba?:k,ba?k,ba?k,ca-?a??:k,,,?a??:k,baa?k,mbaa?k
Zarabatana 2,blowgun,?o?:w,s?oow,?o?:w,--,,,--,,,--,,
Arvore (generico),tree (generic),b??:h,b?aah,ba?:h,b??:,bæ?,b??,--,,,--,,
Algoda?o 1 (sp.),cotton (kapok),kawad,kawad puuw,kawad,--,,,--,,,--,,
