gloss_pt,gloss_en,mbj_rc_m05,mbj_rc_eppsob,mbj_rn_m05,daw_m05,daw_eppsob,daw_eppsob_pht,hup_m05,hup_ramepps,hup_ramepps_pht,yhp_m05,yhp_silva,yhp_silva_pht
Cauda,tail,d??m,do?m,n??m,dubm,dum,dubm,?u?bm,d'úb,nd?úbm,?u?bm,duum,nduubm
Chifre,horn,?a??:n,,?a??:n,?a???:n?,?a??n’,?a??n’,ca???:n?,sa?n?,sa?n?,ca???:n?,,
Couro ou pele,skin,b?:h,byyh,b?:h,b?k,b?k,b?k,--,,,--,,
Gordura 1,fat; grease,--,,--,n??g,næ?g,n??g,na??:?,,,na??:?,nag,nag
Araçari,aracari (small toucan) (Pteroglossus sp.),j?:b,,--,ja? b,ja?b,ja?b,--,,,ja?:bm,,
Araraçanga 1,macaw (Ara macao),--,,--,--,,,ja?:k ,ya?k,ya?k,ja?:k ,ya?k,ya?k
Araraçanga 2,macaw (Ara macao),k?a?-?o:?,,k?a-?u:h,k?a l?,ka?l’,ka?l’,--,,,--,,
Beija-flor 1,hummingbird (familia dos troquilideos),c?i:p,,c?i:p,--,,,--,,,--,,
Beija-flor 2,hummingbird (familia dos troquilideos),--,,--,?ug,?ug,?ug,cu:g?,su?g,su?g?,cu?:g?,sug,sug
Coruja 1,owl (genero otus),--,,--,--,we?w’,we?w’,p?p?p,päpä?p,p?p??p,p?p??:p,päpäp,p?p?p
Coruja 2,owl (genero otus),wo?:??,w?oor,wo?:??,--,,,--,,,--,,
Cujubim (Pipile sp.),piping guan,kaju?:j,,kaju?:j,xuju?:j ?,xuju?j’,xuju?j’,--,,,--,,
Garca,egret (familia dos ardeideos),--,,--,moh,moh,mboh,boh ow?,böh ö?w?,mboh o?w?,--,,
Gaturamo,thick-billed euphonia (Euphonia laniirostris),--,,--,c?ubm,--,,c?u?:bm,,,c?u?:bm,suu?m,suu?bm
