vowel	height	frontness	f1	f2
u	high	back	535.3	865.3
u	high	back	367.2	1852.9
u	high	back	404.7	1606
u	high	back	531.7	1379.5
u	high	back	430.3	1068.3
u	high	back	342.9	1167.5
u	high	back	499.4	1143.7
u	high	back	411.6	1681.4
u	high	back	461.4	1485.2
u	high	back	412.4	1320.4
u	high	back	466.1	1390.6
u	high	back	503	1690.3
u	high	back	438.2	1461.9
u	high	back	535.5	1137
u	high	back	360.1	1235.9
u	high	back	406.7	1645.7
u	high	back	414.3	1088.4
u	high	back	433.4	958.8
u	high	back	548.7	1218.2
u	high	back	505.3	1173.9
u	high	back	411.8	1301.3
u	high	back	428.1	1273
u	high	back	371	1247.7
u	high	back	395.7	1240.4
u	high	back	434	1166.4
u	high	back	375	1198.9
